#TAK ADSB IDs USAF TANKERS
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator","icontype"

"ae038a","a-f-A-M-F-K","62-3531","KC-135R","USAF",""
"ae038b","a-f-A-M-F-K","62-3543","KC-135R","USAF",""
"ae038c","a-f-A-M-F-K","62-3573","KC-135R","USAF",""
"ae038d","a-f-A-M-F-K","63-7976","KC-135R","USAF",""
"ae038e","a-f-A-M-F-K","63-7982","KC-135R","USAF",""
"ae038f","a-f-A-M-F-K","63-7996","KC-135R","USAF",""
"ae0391","a-f-A-M-F-K","63-8039","KC-135R","USAF",""
"ae0392","a-f-A-M-F-K","63-8880","KC-135R","USAF",""
"ae0393","a-f-A-M-F-K","63-8885","KC-135R","USAF",""
"ae0394","a-f-A-M-F-K","64-14832","KC-135R","USAF",""
"ae041d","a-f-A-M-F-K","57-1486","KC-135R","USAF",""
"ae041d","a-f-A-M-F-K","57-1486","KC-135R","USAF",""
"ae041e","a-f-A-M-F-K","57-1487","KC-135R","USAF",""
"ae041f","a-f-A-M-F-K","57-1488","KC-135R","USAF",""
"ae0420","a-f-A-M-F-K","58-0072","KC-135T","USAF",""
"ae0421","a-f-A-M-F-K","58-0089","KC-135T","US AF",""
"ae0422","a-f-A-M-F-K","59-1499","KC-135R","USAF",""
"ae0423","a-f-A-M-F-K","59-1505","KC-135R","USAF",""
"ae0424","a-f-A-M-F-K","60-0333","KC-135R","USAF",""
"ae0426","a-f-A-M-F-K","60-0363","KC-135R","USAF",""
"ae0427","a-f-A-M-F-K","61-0290","KC-135R","USAF",""
"ae0428","a-f-A-M-F-K","62-3511","KC-135T","USAF",""
"ae042b","a-f-A-M-F-K","63-8030","KC-135R","USAF",""
"ae042c","a-f-A-M-F-K","64-14828","KC-135R","USAF",""
"ae042d","a-f-A-M-F-K","64-14834","KC-135R","USAF",""
"ae042e","a-f-A-M-F-K","64-14837","KC-135R","USAF",""
"ae0470","a-f-A-M-F-K","57-1428","KC-135R","USAF",""
"ae0471","a-f-A-M-F-K","57-1451","KC-135R","USAF",""
"ae0472","a-f-A-M-F-K","57-1459","KC-135R","USAF",""
"ae0474","a-f-A-M-F-K","57-2599","KC-135R","USAF",""
"ae0475","a-f-A-M-F-K","58-0001","KC-135R","USAF",""
"ae0476","a-f-A-M-F-K","58-0027","KC-135R","USAF",""
"ae0478","a-f-A-M-F-K","58-0046","KC-135T","USAF",""
"ae0479","a-f-A-M-F-K","58-0061","KC-135T","USAF",""
"ae047a","a-f-A-M-F-K","58-0073","KC-135R","USAF",""
"ae047b","a-f-A-M-F-K","58-0117","KC-135T","USAF",""
"ae047c","a-f-A-M-F-K","59-1448","KC-135R","USAF",""
"ae047d","a-f-A-M-F-K","59-1450","KC-135R","USAF",""
"ae047e","a-f-A-M-F-K","59-1492","KC-135R","USAF",""
"ae047f","a-f-A-M-F-K","59-1509","KC-135R","USAF",""
"ae0480","a-f-A-M-F-K","60-0324","KC-135R","USAF",""
"ae0483","a-f-A-M-F-K","60-0339","KC-135T","USAF",""
"ae0484","a-f-A-M-F-K","62-3509","KC-135R","USAF",""
"ae0485","a-f-A-M-F-K","62-3521","KC-135R","USAF",""
"ae0486","a-f-A-M-F-K","62-3542","KC-135R","USAF",""
"ae0487","a-f-A-M-F-K","62-3556","KC-135R","USAF",""
"ae0489","a-f-A-M-F-K","63-8007","KC-135R","USAF",""
"ae048a","a-f-A-M-F-K","63-8008","KC-135R","USAF",""
"ae048b","a-f-A-M-F-K","63-8032","KC-135R","USAF",""
"ae049a","a-f-A-M-F-K","61-0307","KC-135R","USAF",""
"ae049c","a-f-A-M-F-K","59-1517","KC-135R","USAF",""
"ae04a2","a-f-A-M-F-K","60-0359","KC-135R","USAF",""
"ae04a3","a-f-A-M-F-K","62-3518","KC-135R","USAF",""
"ae04a6","a-f-A-M-F-K","63-8033","KC-135R","USAF",""
"ae04b0","a-f-A-M-F-K","57-1419","KC-135R","USAF",""
"ae04b1","a-f-A-M-F-K","57-1432","KC-135R","USAF",""
"ae04b2","a-f-A-M-F-K","57-1453","KC-135R","USAF",""
"ae04b3","a-f-A-M-F-K","57-1473","KC-135R","USAF",""
"ae04b4","a-f-A-M-F-K","57-1499","KC-135R","USAF",""
"ae04b7","a-f-A-M-F-K","58-0004","KC-135R","USAF",""
"ae04b9","a-f-A-M-F-K","58-0030","KC-135R","USAF",""
"ae04ba","a-f-A-M-F-K","58-0055","KC-135T","USAF",""
"ae04bb","a-f-A-M-F-K","58-0056","KC-135R","USAF",""
"ae04bc","a-f-A-M-F-K","58-0059","KC-135R","USAF",""
"ae04bd","a-f-A-M-F-K","58-0076","KC-135R","USAF",""
"ae04be","a-f-A-M-F-K","58-0106","KC-135R","USAF",""
"ae04bf","a-f-A-M-F-K","58-0123","KC-135R","USAF",""
"ae04c0","a-f-A-M-F-K","58-0124","KC-135RT","USAF",""
"ae04c1","a-f-A-M-F-K","58-0125","KC-135T","USAF",""
"ae04c2","a-f-A-M-F-K","59-1459","KC-135R","USAF",""
"ae04c3","a-f-A-M-F-K","59-1470","KC-135R","USAF",""
"ae04c4","a-f-A-M-F-K","59-1475","KC-135R","USAF",""
"ae04c5","a-f-A-M-F-K","59-1476","KC-135R","USAF",""
"ae04c6","a-f-A-M-F-K","59-1480","KC-135T","USAF",""
"ae04c8","a-f-A-M-F-K","59-1500","KC-135R","USAF",""
"ae04c9","a-f-A-M-F-K","60-0314","KC-135R","USAF",""
"ae04ca","a-f-A-M-F-K","60-0360","KC-135R","USAF",""
"ae04cc","a-f-A-M-F-K","62-3499","KC-135R","USAF",""
"ae04cd","a-f-A-M-F-K","62-3503","KC-135R","USAF",""
"ae04ce","a-f-A-M-F-K","62-3524","KC-135R","USAF",""
"ae04cf","a-f-A-M-F-K","62-3537","KC-135R","USAF",""
"ae04d0","a-f-A-M-F-K","62-3566","KC-135R","USAF",""
"ae04db","a-f-A-M-F-K","57-1437","KC-135R","USAF",""
"ae04dc","a-f-A-M-F-K","57-1461","KC-135R","USAF",""
"ae04dd","a-f-A-M-F-K","57-1502","KC-135R","USAF",""
"ae04de","a-f-A-M-F-K","57-2597","KC-135R","USAF",""
"ae04df","a-f-A-M-F-K","58-0088","KC-135T","USAF",""
"ae04e0","a-f-A-M-F-K","58-0109","KC-135R","USAF",""
"ae04e1","a-f-A-M-F-K","58-0120","KC-135R","USAF",""
"ae04e2","a-f-A-M-F-K","59-1446","KC-135R","USAF",""
"ae04e3","a-f-A-M-F-K","59-1455","KC-135R","USAF",""
"ae04e4","a-f-A-M-F-K","59-1469","KC-135R","USAF",""
"ae04e5","a-f-A-M-F-K","59-1478","KC-135R","USAF",""
"ae04e6","a-f-A-M-F-K","59-1516","KC-135R","USAF",""
"ae04e7","a-f-A-M-F-K","60-0343","KC-135T","USAF",""
"ae04e8","a-f-A-M-F-K","60-0356","KC-135RT","USAF",""
"ae04e9","a-f-A-M-F-K","61-0272","KC-135R","USAF",""
"ae04ea","a-f-A-M-F-K","61-0276","KC-135R","USAF",""
"ae04eb","a-f-A-M-F-K","61-0311","KC-135R","USAF",""
"ae04ec","a-f-A-M-F-K","63-7991","KC-135R","USAF",""
"ae04ed","a-f-A-M-F-K","63-8035","KC-135R","USAF",""
"ae04ee","a-f-A-M-F-K","63-8041","KC-135R","USAF",""
"ae04f6","a-f-A-M-F-K","58-0069","KC-135T","USAF",""
"ae04f7","a-f-A-M-F-K","59-1501","KC-135R","USAF",""
"ae04f8","a-f-A-M-F-K","63-7988","KC-135R","USAF",""
"ae04fb","a-f-A-M-F-K","57-2605","KC-135R","USAF",""
"ae04fd","a-f-A-M-F-K","58-0095","KC-135T","USAF",""
"ae04fe","a-f-A-M-F-K","58-0100","KC-135R","USAF",""
"ae04ff","a-f-A-M-F-K","59-1463","KC-135R","USAF",""
"ae0500","a-f-A-M-F-K","59-1495","KC-135R","USAF",""
"ae0501","a-f-A-M-F-K","59-1504","KC-135T","USAF",""
"ae0502","a-f-A-M-F-K","59-1511","KC-135R","USAF",""
"ae0503","a-f-A-M-F-K","60-0336","KC-135T","USAF",""
"ae0505","a-f-A-M-F-K","60-0366","KC-135R","USAF",""
"ae0506","a-f-A-M-F-K","61-0293","KC-135R","USAF",""
"ae0507","a-f-A-M-F-K","61-0323","KC-135R","USAF",""
"ae0509","a-f-A-M-F-K","62-3552","KC-135R","USAF",""
"ae050a","a-f-A-M-F-K","63-8018","KC-135R","USAF",""
"ae058b","a-f-A-M-F-K","57-1514","KC-135R","USAF",""
"ae058d","a-f-A-M-F-K","58-0016","KC-135R","USAF",""
"ae058f","a-f-A-M-F-K","58-0045","KC-135T","USAF",""
"ae0590","a-f-A-M-F-K","58-0066","KC-135R","USAF",""
"ae0591","a-f-A-M-F-K","58-0075","KC-135R","USAF",""
"ae0592","a-f-A-M-F-K","58-0103","KC-135T","USAF",""
"ae0593","a-f-A-M-F-K","58-0113","KC-135R","USAF",""
"ae0594","a-f-A-M-F-K","58-0128","KC-135R","USAF",""
"ae0596","a-f-A-M-F-K","59-1460","KC-135T","USAF",""
"ae0597","a-f-A-M-F-K","59-1502","KC-135R","USAF",""
"ae0599","a-f-A-M-F-K","60-0315","KC-135R","USAF",""
"ae059b","a-f-A-M-F-K","60-0323","KC-135R","USAF",""
"ae059c","a-f-A-M-F-K","60-0350","KC-135R","USAF",""
"ae059d","a-f-A-M-F-K","60-0362","KC-135R","USAF",""
"ae059e","a-f-A-M-F-K","61-0266","KC-135R","USAF",""
"ae059f","a-f-A-M-F-K","61-0294","KC-135R","USAF",""
"ae05a0","a-f-A-M-F-K","61-0298","KC-135R","USAF",""
"ae05a4","a-f-A-M-F-K","62-3500","KC-135R","USAF",""
"ae05a5","a-f-A-M-F-K","62-3508","KC-135R","USAF",""
"ae05a6","a-f-A-M-F-K","62-3533","KC-135R","USAF",""
"ae05a7","a-f-A-M-F-K","62-3544","KC-135R","USAF",""
"ae05a8","a-f-A-M-F-K","62-3551","KC-135R","USAF",""
"ae05a9","a-f-A-M-F-K","63-8015","KC-135R","USAF",""
"ae05aa","a-f-A-M-F-K","63-8019","KC-135R","USAF",""
"ae05ab","a-f-A-M-F-K","63-8028","KC-135R","USAF",""
"ae05ac","a-f-A-M-F-K","63-8029","KC-135R","USAF",""
"ae05ad","a-f-A-M-F-K","63-8043","KC-135R","USAF",""
"ae05ae","a-f-A-M-F-K","63-8871","KC-135R","USAF",""
"ae05af","a-f-A-M-F-K","63-8875","KC-135R","USAF",""
"ae05b0","a-f-A-M-F-K","63-8876","KC-135R","USAF",""
"ae05b1","a-f-A-M-F-K","63-8878","KC-135R","USAF",""
"ae0626","a-f-A-M-F-K","59-1461","KC-135R","USAF",""
"ae0627","a-f-A-M-F-K","62-3512","KC-135R","USAF",""
"ae0628","a-f-A-M-F-K","58-0122","KC-135R","USAF",""
"ae0629","a-f-A-M-F-K","62-3526","KC-135R","USAF",""
"ae062a","a-f-A-M-F-K","58-0129","KC-135T","USAF",""
"ae062b","a-f-A-M-F-K","60-0353","KC-135R","USAF",""
"ae062c","a-f-A-M-F-K","63-8874","KC-135R","USAF",""
"ae062d","a-f-A-M-F-K","62-3571","KC-135R","USAF",""
"ae063f","a-f-A-M-F-K","57-1441","KC-135R","USAF",""
"ae064d","a-f-A-M-F-K","58-0015","KC-135R","USAF",""
"ae064e","a-f-A-M-F-K","58-0036","KC-135R","USAF",""
"ae0650","a-f-A-M-F-K","58-0049","KC-135T","USAF",""
"ae0651","a-f-A-M-F-K","58-0057","KC-135R","USAF",""
