#TAK ADSB IDs USAF CARGO
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"ae146e","a-f-A-M-F-C-H","07-7176","C-17","USAF"
"ae146f","a-f-A-M-F-C-H","07-7177","C-17","USAF"
"ae1472","a-f-A-M-F-C-H","07-7180","C-17","USAF"
"ae152f","a-f-A-M-F-C-M","06-4631","C-130J","USAF"
"ae1530","a-f-A-M-F-C-M","06-4632","C-130J","USAF"
"ae1531","a-f-A-M-F-C-M","06-4633","C-130J-30","USAF"
"ae1534","a-f-A-M-F-C-M","06-1438","C-130J-30","USAF"
"ae1536","a-f-A-M-F-C-M","06-8159","C-130J","USAF"
"ae1bec","a-f-A-M-F-C-M","06-8610","C-130J-30","USAF"
"ae1bee","a-f-A-M-F-C-M","06-8612","C-130J-30","USAF"
"ae1bf0","a-f-A-M-F-C-M","07-4637","C-130J","USAF"
"ae1bf3","a-f-A-M-F-C-M","07-46310","C-130J-30","USAF"
"ae1bf4","a-f-A-M-F-C-M","07-46311","C-130J-30","USAF"
"ae1bf5","a-f-A-M-F-C-M","07-46312","C-130J-30","USAF"
"ae20c3","a-f-A-M-F-C-H","07-7182","C-17","USAF"
"ae20c4","a-f-A-M-F-C-H","07-7183","C-17A","USAF"
"ae20c5","a-f-A-M-F-C-H","07-7184","C-17","USAF"
"ae20c6","a-f-A-M-F-C-H","07-7185","C-17A","USAF"
"ae20c7","a-f-A-M-F-C-H","07-7186","C-17","USAF"
"ae20c8","a-f-A-M-F-C-H","07-7187","C-17","USAF"
"ae20c9","a-f-A-M-F-C-H","07-7188","C-17A","USAF"
"ae2208","a-f-A-M-F-C-M","08-8601","C-130J","USAF"
"ae2209","a-f-A-M-F-C-M","08-8602","C-130J","USAF"
"ae220a","a-f-A-M-F-C-M","08-8603","C-130J-30","USAF"
"ae220c","a-f-A-M-F-C-M","08-8605","C-130J-30","USAF"
"ae2210","a-f-A-M-F-C-M","07-8609","C-130J","USAF"
"ae293a","a-f-A-M-F-C-M","07-8613","C-130J-30","USAF"
"ae293b","a-f-A-M-F-C-M","07-8614","C-130J-30","USAF"
"ae29dc","a-f-A-M-F-C-M","08-3172","C-130J-30","USAF"
"ae29dd","a-f-A-M-F-C-M","08-3173","C-130J-30","USAF"
"ae2fa2","a-f-A-M-F-C-H","08-8190","C-17","USAF"
"ae2fa3","a-f-A-M-F-C-H","08-8191","C-17","USAF"
"ae2fa4","a-f-A-M-F-C-H","08-8192","C-17","USAF"
"ae2fa5","a-f-A-M-F-C-H","08-8193","C-17","USAF"
"ae2fa6","a-f-A-M-F-C-H","08-8194","C-17","USAF"
"ae2fa7","a-f-A-M-F-C-H","08-8195","C-17A","USAF"
"ae2fa8","a-f-A-M-F-C-H","08-8196","C-17","USAF"
"ae2fa9","a-f-A-M-F-C-H","08-8197","C-17A","USAF"
"ae2faa","a-f-A-M-F-C-H","08-8198","C-17A","USAF"
"ae2fac","a-f-A-M-F-C-H","08-8200","C-17","USAF"
"ae2fad","a-f-A-M-F-C-H","08-8201","C-17A","USAF"
"ae2fae","a-f-A-M-F-C-H","08-8202","C-17","USAF"
"ae2faf","a-f-A-M-F-C-H","08-8203","C-17A","USAF"
"ae2fb0","a-f-A-M-F-C-H","08-8204","C-17","USAF"
"ae49c1","a-f-A-M-F-C-H","09-9205","C-17","USAF"
"ae49c5","a-f-A-M-F-C-H","09-9209","C-17","USAF"
"ae49c6","a-f-A-M-F-C-H","09-9210","C-17","USAF"
"ae49c7","a-f-A-M-F-C-H","09-9211","C-17","USAF"
"ae49c8","a-f-A-M-F-C-H","09-9212","C-17A","USAF"
"ae4af1","a-f-A-M-F-C-M","08-3176","C-130J","USAF"
"ae4af3","a-f-A-M-F-C-M","08-3178","C-130J","USAF"
"ae4af4","a-f-A-M-F-C-M","08-3179","C-130J-30","USAF"
"ae4af5","a-f-A-M-F-C-M","08-5675","C-130J","USAF"
"ae4af7","a-f-A-M-F-C-M","08-5679","C-130J","USAF"
"ae4af8","a-f-A-M-F-C-M","08-5683","C-130J","USAF"
"ae4afa","a-f-A-M-F-C-M","08-5685","C-130J-30","USAF"
"ae4afb","a-f-A-M-F-C-M","08-5686","C-130J","USAF"
"ae4afd","a-f-A-M-F-C-M","08-5692","C-130J-30","USAF"
"ae4afe","a-f-A-M-F-C-M","08-5693","C-130J-30","USAF"
"ae4bdc","a-f-A-M-F-C-M","08-5705","C-130J","USAF"
"ae4bdd","a-f-A-M-F-C-M","10-5700","C-130J-30","USAF"
