#TAK ADSB IDs USAF TANKERS
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"ae0506","a-f-A-M-F-K","61-0293","KC-135R","USAF"
"ae0507","a-f-A-M-F-K","61-0323","KC-135R","USAF"
"ae0509","a-f-A-M-F-K","62-3552","KC-135R","USAF"
"ae050a","a-f-A-M-F-K","63-8018","KC-135R","USAF"
"ae058b","a-f-A-M-F-K","57-1514","KC-135R","USAF"
"ae058d","a-f-A-M-F-K","58-0016","KC-135R","USAF"
"ae058f","a-f-A-M-F-K","58-0045","KC-135T","USAF"
"ae0590","a-f-A-M-F-K","58-0066","KC-135R","USAF"
"ae0592","a-f-A-M-F-K","58-0103","KC-135T","USAF"
"ae0596","a-f-A-M-F-K","59-1460","KC-135T","USAF"
"ae0599","a-f-A-M-F-K","60-0315","KC-135R","USAF"
"ae059d","a-f-A-M-F-K","60-0362","KC-135R","USAF"
"ae059e","a-f-A-M-F-K","61-0266","KC-135R","USAF"
"ae05a0","a-f-A-M-F-K","61-0298","KC-135R","USAF"
"ae05a4","a-f-A-M-F-K","62-3500","KC-135R","USAF"
"ae05a5","a-f-A-M-F-K","62-3508","KC-135R","USAF"
"ae05aa","a-f-A-M-F-K","63-8019","KC-135R","USAF"
"ae05ab","a-f-A-M-F-K","63-8028","KC-135R","USAF"
"ae05ac","a-f-A-M-F-K","63-8029","KC-135R","USAF"
"ae05ae","a-f-A-M-F-K","63-8871","KC-135R","USAF"
"ae05b0","a-f-A-M-F-K","63-8876","KC-135R","USAF"
"ae05b1","a-f-A-M-F-K","63-8878","KC-135R","USAF"
"ae0627","a-f-A-M-F-K","62-3512","KC-135R","USAF"
"ae0629","a-f-A-M-F-K","62-3526","KC-135R","USAF"
"ae062b","a-f-A-M-F-K","60-0353","KC-135R","USAF"
"ae062c","a-f-A-M-F-K","63-8874","KC-135R","USAF"
"ae062d","a-f-A-M-F-K","62-3571","KC-135R","USAF"
"ae063f","a-f-A-M-F-K","57-1441","KC-135R","USAF"
"ae064d","a-f-A-M-F-K","58-0015","KC-135R","USAF"
"ae0650","a-f-A-M-F-K","58-0049","KC-135T","USAF"
"ae0655","a-f-A-M-F-K","58-0084","KC-135T","USAF"
"ae0656","a-f-A-M-F-K","58-0102","KC-135R","USAF"
"ae0659","a-f-A-M-F-K","59-1464","KC-135T","USAF"
"ae065c","a-f-A-M-F-K","59-1507","KC-135R","USAF"
"ae065d","a-f-A-M-F-K","60-0320","KC-135R","USAF"
"ae065e","a-f-A-M-F-K","60-0332","KC-135R","USAF"
"ae065f","a-f-A-M-F-K","60-0346","KC-135T","USAF"
"ae0663","a-f-A-M-F-K","60-0364","KC-135R","USAF"
"ae0665","a-f-A-M-F-K","61-0299","KC-135T","USAF"
"ae066a","a-f-A-M-F-K","62-3549","KC-135R","USAF"
"ae066b","a-f-A-M-F-K","62-3554","KC-135R","USAF"
"ae066c","a-f-A-M-F-K","62-3562","KC-135R","USAF"
"ae066e","a-f-A-M-F-K","62-3569","KC-135R","USAF"
"ae066f","a-f-A-M-F-K","62-3580","KC-135R","USAF"
"ae0673","a-f-A-M-F-K","63-8027","KC-135R","USAF"
"ae0683","a-f-A-M-F-K","60-0313","KC-135R","USAF"
"ae0685","a-f-A-M-F-K","60-0322","KC-135R","USAF"
"ae0686","a-f-A-M-F-K","60-0328","KC-135R","USAF"
"ae0689","a-f-A-M-F-K","61-0300","KC-135R","USAF"
"ae068b","a-f-A-M-F-K","62-3510","KC-135R","USAF"
"ae068c","a-f-A-M-F-K","62-3513","KC-135R","USAF"
"ae068d","a-f-A-M-F-K","62-3517","KC-135R","USAF"
"ae068f","a-f-A-M-F-K","62-3534","KC-135R","USAF"
"ae0692","a-f-A-M-F-K","63-7997","KC-135R","USAF"
"ae0693","a-f-A-M-F-K","63-8004","KC-135R","USAF"
"ae07a3","a-f-A-M-F-K","58-0118","KC-135R","USAF"
"ae07a6","a-f-A-M-F-K","59-1474","KC-135T","USAF"
"ae07a7","a-f-A-M-F-K","59-1498","KC-135R","USAF"
"ae07ab","a-f-A-M-F-K","60-0331","KC-135R","USAF"
"ae07ad","a-f-A-M-F-K","60-0365","KC-135R","USAF"
"ae07af","a-f-A-M-F-K","61-0275","KC-135R","USAF"
"ae07b4","a-f-A-M-F-K","62-3498","KC-135R","USAF"
"ae07b5","a-f-A-M-F-K","62-3505","KC-135R","USAF"
"ae07bc","a-f-A-M-F-K","62-3564","KC-135R","USAF"
"ae07bd","a-f-A-M-F-K","62-3568","KC-135R","USAF"
"ae07bf","a-f-A-M-F-K","63-7979","KC-135R","USAF"
"ae07c2","a-f-A-M-F-K","63-8020","KC-135R","USAF"
"ae07c3","a-f-A-M-F-K","63-8023","KC-135R","USAF"
"ae07c4","a-f-A-M-F-K","63-8873","KC-135R","USAF"
"ae0847","a-f-A-M-F-K","58-0107","KC-135R","USAF"
"ae0859","a-f-A-M-F-K","59-1506","KC-135R","USAF"
"ae085a","a-f-A-M-F-K","59-1519","KC-135R","USAF"
"ae574d","a-f-A-M-F-K","19-46007","KC-46A","USAF"
"ae574f","a-f-A-M-F-K","15-46009","KC-46A","USAF"
"ae5751","a-f-A-M-F-K","15-46011","KC-46A","USAF"
"ae5bbd","a-f-A-M-F-K","16-46012","KC-46A","USAF"
"ae5bbe","a-f-A-M-F-K","16-46013","KC-46A","USAF"
"ae5bbf","a-f-A-M-F-K","16-46014","KC-46A","USAF"
"ae5bc1","a-f-A-M-F-K","16-46016","KC-46A","USAF"
"ae5bc2","a-f-A-M-F-K","16-46017","KC-46A","USAF"
"ae5bc3","a-f-A-M-F-K","16-46018","KC-46A","USAF"
"ae5bc4","a-f-A-M-F-K","16-46019","KC-46A","USAF"
"ae5bc5","a-f-A-M-F-K","16-46020","KC-46A","USAF"
"ae5bc6","a-f-A-M-F-K","16-46021","KC-46A","USAF"
"ae5bc7","a-f-A-M-F-K","16-46022","KC-46A","USAF"
"ae5e05","a-f-A-M-F-K","17-46024","KC-46A","USAF"
"ae5e06","a-f-A-M-F-K","17-46025","KC-46A","USAF"
"ae5e07","a-f-A-M-F-K","17-46026","KC-46A","USAF"
"ae5e08","a-f-A-M-F-K","17-46027","KC-46A","USAF"
"ae5e0c","a-f-A-M-F-K","17-46031","KC-46A","USAF"
"ae5e0e","a-f-A-M-F-K","17-46033","KC-46A","USAF"
"ae5e10","a-f-A-M-F-K","17-46035","KC-46A","USAF"
"ae5e12","a-f-A-M-F-K","17-46037","KC-46A","USAF"
"ae5e13","a-f-A-M-F-K","17-46038","KC-46A","USAF"
"ae5f93","a-f-A-M-F-K","18-46040","KC-46A","USAF"
"ae5f96","a-f-A-M-F-K","18-46043","KC-46A","USAF"
"ae5f98","a-f-A-M-F-K","18-46045","KC-46A","USAF"
"ae5f99","a-f-A-M-F-K","18-46046","KC-46A","USAF"
"ae5f9a","a-f-A-M-F-K","18-46047","KC-46A","USAF"
"ae5f9c","a-f-A-M-F-K","18-46049","KC-46A","USAF"
"ae5f9d","a-f-A-M-F-K","18-46050","KC-46A","USAF"
"ae5f9e","a-f-A-M-F-K","18-46051","KC-46A","USAF"
"ae5fa0","a-f-A-M-F-K","18-46053","KC-46A","USAF"
"ae5fa1","a-f-A-M-F-K","18-46054","KC-46A","USAF"
"ae5fa5","a-f-A-M-F-K","19-46058","KC-46A","USAF"
"ae5fa6","a-f-A-M-F-K","19-46059","KC-46A","USAF"
"ae5fa7","a-f-A-M-F-K","19-46060","KC-46A","USAF"
"ae5fa9","a-f-A-M-F-K","19-46062","KC-46A","USAF"
"ae5faa","a-f-A-M-F-K","19-46063","KC-46A","USAF"
"ae5fad","a-f-A-M-F-K","15-46066","KC-46A","USAF"
"ae5fae","a-f-A-M-F-K","15-46067","KC-46A","USAF"
"ae5faf","a-f-A-M-F-K","19-46068","KC-46A","USAF"
"ae63b2","a-f-A-M-F-K","15-46070","KC-46A","USAF"
"ae63b3","a-f-A-M-F-K","19-46071","KC-46A","USAF"
"AE63B4","a-f-A-M-F-K","20-46072","KC-46A","USAF"
"ae63b8","a-f-A-M-F-K","20-46076","KC-46A","USAF"
"ae63b9","a-f-A-M-F-K","20-46077","KC-46A","USAF"
"ae63c5","a-f-A-M-F-K","21-46089","KC-46A","USAF"
"ae6a6d","a-f-A-M-F-K","79-1711","KC-10A","USAF"
