#TAK ADSB IDs USAF TRAINERS
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"ae0004","a-f-A-M-F-T","64-13235","T-38","USAF #trainer"
"ae0005","a-f-A-M-F-T","64-13233","T-38","USAF #trainer"
"ae0006","a-f-A-M-F-T","64-13289","T-38","USAF #trainer"
"ae0009","a-f-A-M-F-T","65-10335","T-38","USAF #trainer"
"ae000a","a-f-A-M-F-T","65-10340","T-38C","USAF #trainer"
"ae000b","a-f-A-M-F-T","65-10349","T-38","USAF #trainer"
"ae000e","a-f-A-M-F-T","65-10366","T-38","USAF #trainer"
"ae0012","a-f-A-M-F-T","65-10393","T-38C","USAF #trainer"
"ae0014","a-f-A-M-F-T","65-10396","T-38C","USAF #trainer"
"ae0016","a-f-A-M-F-T","65-10431","T-38C","USAF #trainer"
"ae0017","a-f-A-M-F-T","65-10430","T-38C","USAF #trainer"
"ae0018","a-f-A-M-F-T","65-10435","T-38C","USAF #trainer"
"ae001a","a-f-A-M-F-T","66-4335","T-38","USAF #trainer"
"ae001d","a-f-A-M-F-T","67-14838","T-38C","USAF #trainer"
"ae001e","a-f-A-M-F-T","67-14851","T-38","USAF #trainer"
"ae0022","a-f-A-M-F-T","67-14921","T-38C","USAF #trainer"
"ae0024","a-f-A-M-F-T","67-14928","T-38C","USAF #trainer"
"ae0025","a-f-A-M-F-T","67-14931","T-38C","USAF #trainer"
"ae0025","a-f-A-M-F-T","67-14931","T-38C","USAF #trainer"
"ae0026","a-f-A-M-F-T","67-14936","T-38C","USAF #trainer"
"ae0027","a-f-A-M-F-T","67-14940","T-38","USAF #trainer"
"ae002b","a-f-A-M-F-T","67-14949","T-38","USAF #trainer"
"ae002c","a-f-A-M-F-T","67-14958","T-38C","USAF #trainer"
"ae002c","a-f-A-M-F-T","67-14958","T-38C","USAF #trainer"
"ae0030","a-f-A-M-F-T","68-8117","T-38","USAF #trainer"
