#TAK ADSB IDs US NAVY
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator","icontype"

"ae1b66","a-f-A-M-F-F","166841","F/A-18E","USN",""
"ae1baa","a-f-A-M-F-K","167925","KC-130J","USN",""
"ae1d00","a-f-A-M-F-P","158570","P-3C-UIII","USN",""
"ae1d03","a-f-A-M-F-P","158912","P-3C","USN",""
"ae1d2a","a-f-A-M-F-P","160293","P-3C-BMUP","USN",""
"ae1d61","a-f-A-M-F-P","161590","P-3C","USN",""
"ae1d7c","a-f-A-M-F-P","162999","P-3C-AIP","USN",""
"ae1d85","a-f-A-M-F-P","163291","P-3C-AIP+","USN",""
"ae1d88","a-f-A-M-F-P","163294","P-3C-III","USN",""
"ae1dab","a-f-A-M-H-U-M","167815","MH-60S","USN",""
"ae1db1","a-f-A-M-H-U-M","167821","MH-60S","USN",""
"ae1dba","a-f-A-M-H-U-M","167830","MH-60S","USN",""
"ae1dbe","a-f-A-M-H-U-M","167834","MH-60S","USN",""
"ae1dc0","a-f-A-M-H-U-M","167836","MH-60S","USN",""
"ae1dc6","a-f-A-M-H-U-M","167842","MH-60S","USN",""
"ae1dd2","a-f-A-M-H-S","166543","MH-60R","USN",""
"ae1de1","a-f-A-M-H-S","166558","MH-60R","USN",""
"ae1e6b","a-f-A-M-F-T","166013","T-6B","USN #trainer",""
"ae1e6d","a-f-A-M-F-T","166015","T-6","USN #trainer",""
"ae1e70","a-f-A-M-F-T","166018","T-6B","USN #trainer",""
"ae1e71","a-f-A-M-F-T","166019","T-6C","USN #trainer",""
"ae1e72","a-f-A-M-F-T","166020","T-6","USN #trainer",""
"ae1e73","a-f-A-M-F-T","166021","T-6B","USN #trainer",""
"ae1e75","a-f-A-M-F-T","166023","T-6B","USN #trainer",""
"ae1e76","a-f-A-M-F-T","166024","T-6","USN #trainer",""
"ae1e77","a-f-A-M-F-T","166025","T-6","USN #trainer",""
"ae1e78","a-f-A-M-F-T","166026","T-6","USN #trainer",""
"ae1e7a","a-f-A-M-F-T","166028","T-6","USN #trainer",""
"ae1e7c","a-f-A-M-F-T","166030","T-6B","USN #trainer",""
"ae1e7d","a-f-A-M-F-T","166031","T-6B","USN #trainer",""
"ae1e7e","a-f-A-M-F-T","166032","T-6B","USN #trainer",""
"ae1e7f","a-f-A-M-F-T","166033","T-6B","USN #trainer",""
"ae1e81","a-f-A-M-F-T","166035","T-6","USN #trainer",""
"ae1e83","a-f-A-M-F-T","166037","T-6","USN #trainer",""
"ae1e85","a-f-A-M-F-T","166039","T-6B","USN #trainer",""
"ae1e86","a-f-A-M-F-T","166040","T-6B","USN #trainer",""
"ae1eb0","a-f-A-M-F-T","166043","T-6B","USN #trainer",""
"ae1eb1","a-f-A-M-F-T","166044","T-6B","USN #trainer",""
"ae1eb2","a-f-A-M-F-T","166045","T-6B","USN #trainer",""
"ae1eb3","a-f-A-M-F-T","166046","T-6B","USN #trainer",""
"ae1eb4","a-f-A-M-F-T","166047","T-6B","USN #trainer",""
"ae1eb5","a-f-A-M-F-T","166048","T-6B","USN #trainer",""
"ae1eb6","a-f-A-M-F-T","166049","T-6","USN #trainer",""
"ae1eb7","a-f-A-M-F-T","166050","T-6B","USN #trainer",""
"ae1eb8","a-f-A-M-F-T","166051","T-6B","USN #trainer",""
"ae1eba","a-f-A-M-F-T","166053","T-6","USN #trainer",""
"ae1ebb","a-f-A-M-F-T","166054","T-6","USN #trainer",""
"ae1ebc","a-f-A-M-F-T","166055","T-6B","USN #trainer",""
"ae1ebe","a-f-A-M-F-T","166057","T-6B","USN #trainer",""
"ae1ebf","a-f-A-M-F-T","166058","T-6B","USN #trainer",""
"ae1ec0","a-f-A-M-F-T","166059","T-6","USN #trainer",""
"ae1ec1","a-f-A-M-F-T","166060","T-6B","USN #trainer",""
"ae1ec2","a-f-A-M-F-T","166061","T-6B","USN #trainer",""
"ae1ec3","a-f-A-M-F-T","166062","T-6B","USN #trainer",""
"ae1ec4","a-f-A-M-F-T","166063","T-6B","USN #trainer",""
"ae1ec5","a-f-A-M-F-T","166064","T-6","USN #trainer",""
"ae1ec6","a-f-A-M-F-T","166065","T-6","USN #trainer",""
"ae1ec7","a-f-A-M-F-T","166066","T-6B","USN #trainer",""
"ae1ec8","a-f-A-M-F-T","166067","T-6","USN #trainer",""
"ae1eca","a-f-A-M-F-T","166069","T-6B","USN #trainer",""
"ae1ecb","a-f-A-M-F-T","166070","T-6C","USN #trainer",""
"ae1ecd","a-f-A-M-F-T","166072","T-6B","USN #trainer",""
"ae1ece","a-f-A-M-F-T","166073","T-6B","USN #trainer",""
"ae1ecf","a-f-A-M-F-T","166074","T-6B","USN #trainer",""
"ae1ed0","a-f-A-M-F-T","166075","T-6B","USN #trainer",""
"ae1ed2","a-f-A-M-F-T","166077","T-6B","USN #trainer",""
"ae1ed4","a-f-A-M-F-T","166079","T-6B","USN #trainer",""
"ae1ed5","a-f-A-M-F-T","166080","T-6","USN #trainer",""
"ae1ed7","a-f-A-M-F-T","166082","T-6B","USN #trainer",""
"ae1ed8","a-f-A-M-F-T","166083","T-6B","USN #trainer",""
"ae1ed9","a-f-A-M-F-T","166084","T-6","USN #trainer",""
"ae222c","a-f-A-M-F-P","167951","P-8A","USN",""
"ae222e","a-f-A-M-F-P","167953","P-8A","USN",""
"ae222f","a-f-A-M-F-P","167954","P-8A","USN",""
"ae222f","a-f-A-M-F-P","167954","P-8A","USN",""
"ae24e5","a-f-A-M-F-R-W","165650","E-2C","USN",""
"ae24eb","a-f-A-M-F-R-W","165816","E-2C","USN",""
"ae24ec","a-f-A-M-F-R-W","165817","E-2C","USN",""
"ae24ee","a-f-A-M-F-R-W","165819","E-2C","USN",""
"ae2761","a-f-A-M-H-U-M","166292","MH-60S","USN",""
"ae2764","a-f-A-M-H-U-M","166294","MH-60S","USN",""
"ae2768","a-f-A-M-H-U-M","166299","MH-60N","USN",""
"ae2783","a-f-A-M-H-U-M","166328","MH-60S","USN",""
"ae29fd","a-f-A-M-F-U-M","166694","C-40A","USN",""
"ae29fe","a-f-A-M-F-U-M","166695","C-40A","USN",""
"ae2be8","a-f-A-M-H-S","166565","MH-60R","USN",""
"ae2beb","a-f-A-M-H-S","166568","MH-60R","USN",""
"ae2bed","a-f-A-M-H-S","166570","MH-60R","USN",""
"ae2bef","a-f-A-M-H-S","166572","MH-60R","USN",""
"ae2bf0","a-f-A-M-H-S","166573","MH-60R","USN",""
"ae2bf1","a-f-A-M-H-S","166574","MH-60R","USN",""
"ae2bf3","a-f-A-M-H-S","166576","MH-60R","USN",""
"ae2bf4","a-f-A-M-H-S","166577","MH-60R","USN",""
"ae2bf6","a-f-A-M-H-S","166579","MH-60R","USN",""
"ae2bf7","a-f-A-M-H-S","166580","MH-60R","USN",""
"ae2bf9","a-f-A-M-H-S","166582","MH-60R","USN",""
"ae2bfe","a-f-A-M-H-S","166587","MH-60R","USN",""
"ae2bff","a-f-A-M-H-S","166588","MH-60R","USN",""
"ae2bff","a-f-A-M-H-S","166588","MH-60R","USN",""
"ae2c3d","a-f-A-M-H-T","168249","TH-72A","USN #trainer",""
"ae2ed3","a-f-A-M-F-T","166086","T-6B","USN #trainer",""
"ae2ed4","a-f-A-M-F-T","166087","T-6B","USN #trainer",""
"ae2ed6","a-f-A-M-F-T","166089","T-6B","USN #trainer",""
"ae2ed7","a-f-A-M-F-T","166090","T-6B","USN #trainer",""
"ae2ed8","a-f-A-M-F-T","166091","T-6B","USN #trainer",""
"ae2eda","a-f-A-M-F-T","166093","T-6B","USN #trainer",""
"ae2edb","a-f-A-M-F-T","166094","T-6B","USN #trainer",""
"ae2edc","a-f-A-M-F-T","166095","T-6B","USN #trainer",""
"ae2edd","a-f-A-M-F-T","166096","T-6B","USN #trainer",""
"ae2ede","a-f-A-M-F-T","166097","T-6B","USN #trainer",""
"ae2edf","a-f-A-M-F-T","166098","T-6B","USN #trainer",""
"ae2ee0","a-f-A-M-F-T","166099","T-6B","USN #trainer",""
"ae2ee1","a-f-A-M-F-T","166100","T-6C","USN #trainer",""
"ae2ee2","a-f-A-M-F-T","166101","T-6","USN #trainer",""
"ae2ee4","a-f-A-M-F-T","166103","T-6B","USN #trainer",""
"ae2ee6","a-f-A-M-F-T","166105","T-6B","USN #trainer",""
"ae2ee7","a-f-A-M-F-T","166106","T-6","USN #trainer",""
"ae2ee8","a-f-A-M-F-T","166107","T-6C","USN #trainer",""
"ae2ee9","a-f-A-M-F-T","166108","T-6B","USN #trainer",""
"ae2eea","a-f-A-M-F-T","166109","T-6B","USN #trainer",""
"ae2eec","a-f-A-M-F-T","166111","T-6C","USN #trainer",""
"ae2eed","a-f-A-M-F-T","166112","T-6","USN #trainer",""
"ae2eee","a-f-A-M-F-T","166113","T-6B","USN #trainer",""
"ae2eef","a-f-A-M-F-T","166114","T-6B","USN #trainer",""
"ae2ef0","a-f-A-M-F-T","166115","T-6B","USN #trainer",""
"ae2ef1","a-f-A-M-F-T","166116","T-6B","USN #trainer",""
"ae2ef2","a-f-A-M-F-T","166117","T-6","USN #trainer",""
"ae2ef3","a-f-A-M-F-T","166118","T-6","USN #trainer",""
"ae2ef4","a-f-A-M-F-T","166119","T-6","USN #trainer",""
"ae2ef5","a-f-A-M-F-T","166120","T-6B","USN #trainer",""
"ae2ef6","a-f-A-M-F-T","166121","T-6C","USN #trainer",""
"ae2ef7","a-f-A-M-F-T","166122","T-6","USN #trainer",""
"ae2ef8","a-f-A-M-F-T","166123","T-6B","USN #trainer",""
"ae2ef9","a-f-A-M-F-T","166124","T-6","USN #trainer",""
"ae2efa","a-f-A-M-F-T","166125","T-6B","USN #trainer",""
"ae2efc","a-f-A-M-F-T","166127","T-6B","USN #trainer",""
"ae2f19","a-f-A-M-F-J","168264","EA-18G","USN",""
"ae2f9a","a-f-A-M-F-K","168068","KC-130J","USN",""
"ae2fd7","a-f-A-M-F-R-W","168077","E-2D","USN",""
"ae4a09","a-f-A-M-F-T","166128","T-6B","USN #trainer",""
"ae4a0a","a-f-A-M-F-T","166129","T-6","USN #trainer",""
"ae4a0c","a-f-A-M-F-T","166131","T-6B","USN #trainer",""
"ae4a0d","a-f-A-M-F-T","166132","T-6B","USN #trainer",""
"ae4a10","a-f-A-M-F-T","166135","T-6B","USN #trainer",""
"ae4a11","a-f-A-M-F-T","166136","T-6B","USN #trainer",""
"ae4a13","a-f-A-M-F-T","166138","T-6B","USN #trainer",""
"ae4a14","a-f-A-M-F-T","166139","T-6B","USN #trainer",""
"ae4a15","a-f-A-M-F-T","166140","T-6B","USN #trainer",""
"ae4a16","a-f-A-M-F-T","166141","T-6B","USN #trainer",""
"ae4a18","a-f-A-M-F-T","166143","T-6B","USN #trainer",""
"ae4a19","a-f-A-M-F-T","166144","T-6B","USN #trainer",""
"ae4a1b","a-f-A-M-F-T","166146","T-6B","USN #trainer",""
"ae4a1c","a-f-A-M-F-T","166147","T-6B","USN #trainer",""
"ae4a1d","a-f-A-M-F-T","166148","T-6B","USN #trainer",""
"ae4a1e","a-f-A-M-F-T","166149","T-6B","USN #trainer",""
"ae4a1f","a-f-A-M-F-T","166150","T-6B","USN #trainer",""
"ae4a20","a-f-A-M-F-T","166151","T-6B","USN #trainer",""
"ae4a21","a-f-A-M-F-T","166152","T-6","USN #trainer",""
"ae4a22","a-f-A-M-F-T","166153","T-6","USN #trainer",""
"ae4a23","a-f-A-M-F-T","166154","T-6B","USN #trainer",""
"ae4a24","a-f-A-M-F-T","166155","T-6B","USN #trainer",""
"ae4a25","a-f-A-M-F-T","166156","T-6B","USN #trainer",""
"ae4a25","a-f-A-M-F-T","166156","T-6B","USN #trainer",""
"ae4a26","a-f-A-M-F-T","166157","T-6B","USN #trainer",""
"ae4a27","a-f-A-M-F-T","166158","T-6B","USN #trainer",""
"ae4a28","a-f-A-M-F-T","166159","T-6B","USN #trainer",""
"ae4a29","a-f-A-M-F-T","166160","T-6","USN #trainer",""
"ae4a2a","a-f-A-M-F-T","166161","T-6B","USN #trainer",""
"ae4a2b","a-f-A-M-F-T","166162","T-6B","USN #trainer",""
"ae4a2c","a-f-A-M-F-T","166163","T-6B","USN #trainer",""
"ae4a60","a-f-A-M-F-U-M","166696","C-40A","USN",""
"ae4d33","a-f-A-M-H-U-M","167866","MH-60S","USN",""
"ae4e8d","a-f-A-M-F-T","166164","T-6","USN #trainer",""
"ae4e8e","a-f-A-M-F-T","166165","T-6B","USN #trainer",""
"ae4e8f","a-f-A-M-F-T","166166","T-6B","USN #trainer",""
"ae4e90","a-f-A-M-F-T","166167","T-6B","USN #trainer",""
"ae4e91","a-f-A-M-F-T","166168","T-6","USN #trainer",""
"ae4e92","a-f-A-M-F-T","166169","T-6","USN #trainer",""
"ae4e93","a-f-A-M-F-T","166170","T-6B","USN #trainer",""
"ae4e93","a-f-A-M-F-T","166170","T-6B","USN #trainer",""
"ae4e94","a-f-A-M-F-T","166171","T-6B","USN #trainer",""
"ae4e95","a-f-A-M-F-T","166172","T-6B","USN #trainer",""
"ae4e96","a-f-A-M-F-T","166173","T-6B","USN #trainer",""
"ae4e97","a-f-A-M-F-T","166174","T-6B","USN #trainer",""
"ae4e98","a-f-A-M-F-T","166175","T-6B","USN #trainer",""
"ae4e99","a-f-A-M-F-T","166176","T-6B","USN #trainer",""
"ae4e9a","a-f-A-M-F-T","166177","T-6B","USN #trainer",""
"ae4e9b","a-f-A-M-F-T","166178","T-6B","USN #trainer",""
"ae4e9c","a-f-A-M-F-T","166178","T-6","USN #trainer",""
"ae4e9d","a-f-A-M-F-T","166179","T-6C","USN #trainer",""
"ae4e9e","a-f-A-M-F-T","166181","T-6B","USN #trainer",""
"ae4e9f","a-f-A-M-F-T","166181","T-6","USN #trainer",""
"ae4ea0","a-f-A-M-F-T","166182","T-6","USN #trainer",""
"ae4ea1","a-f-A-M-F-T","166184","T-6B","USN #trainer",""
"ae4ea2","a-f-A-M-F-T","166184","T-6","USN #trainer",""
"ae4ea3","a-f-A-M-F-T","166186","T-6B","USN #trainer",""
"ae4ea4","a-f-A-M-F-T","166187","T-6B","USN #trainer",""
"ae4ea5","a-f-A-M-F-T","166188","T-6B","USN #trainer",""
"ae4ea6","a-f-A-M-F-T","166189","T-6B","USN #trainer",""
"ae4ea6","a-f-A-M-F-T","166189","T-6B","USN #trainer",""
"ae4ea7","a-f-A-M-F-T","166190","T-6B","USN #trainer",""
"ae4ea8","a-f-A-M-F-T","166190","T-6C","USN #trainer",""
"ae4ea9","a-f-A-M-F-T","166192","T-6B","USN #trainer",""
"ae4eaa","a-f-A-M-F-T","166193","T-6B","USN #trainer",""
"ae4eab","a-f-A-M-F-T","166194","T-6B","USN #trainer",""
"ae4eac","a-f-A-M-F-T","166195","T-6B","USN #trainer",""
"ae4ead","a-f-A-M-F-T","166196","T-6B","USN #trainer",""
"ae4eae","a-f-A-M-F-T","166196","T-6C","USN #trainer",""
"ae4eaf","a-f-A-M-F-T","166197","T-6","USN #trainer",""
"ae4eb1","a-f-A-M-F-P","167956","P-8A","USN",""
"ae4eb3","a-f-A-M-F-P","168429","P-8A","USN",""
"ae4eb7","a-f-A-M-F-P","168433","P-8","USN",""
"ae4eb8","a-f-A-M-F-P","168434","P-8","USN",""
"ae4eb9","a-f-A-M-F-P","168435","P-8","USN",""
"ae4eba","a-f-A-M-F-P","168436","P-8A","USN",""
"ae4ebb","a-f-A-M-F-P","168437","P-8A","USN",""
"ae4ec2","a-f-A-M-F-P","168757","P-8A","USN",""
"ae4ec3","a-f-A-M-F-P","168758","P-8A","USN",""
"ae4ec4","a-f-A-M-F-P","168759","P-8A","USN",""
"ae4ec5","a-f-A-M-F-P","168760","P-8A","USN",""
"ae4ec6","a-f-A-M-F-P","168761","P-8A","USN",""
"ae4ec6","a-f-A-M-F-P","168761","P-8A","USN",""
"ae4ec8","a-f-A-M-F-P","168763","P-8A","USN",""
"ae4f88","a-f-A-M-H-S","167054","MH-60R","USN",""
"ae4f9e","a-f-A-M-H-S","168078","MH-60R","USN",""
"ae4f9f","a-f-A-M-H-S","168079","MH-60R","USN",""
"ae4fa0","a-f-A-M-H-S","168080","MH-60R","USN",""
"ae4fa1","a-f-A-M-H-S","168081","MH-60R","USN",""
"ae4fa2","a-f-A-M-H-S","168082","MH-60R","USN",""
"ae4fa3","a-f-A-M-H-S","168083","MH-60R","USN",""
"ae4fa4","a-f-A-M-H-S","168084","MH-60R","USN",""
"ae4fa5","a-f-A-M-H-S","168085","MH-60R","USN",""
"ae4fa6","a-f-A-M-H-S","168086","MH-60R","USN",""
"ae4fa7","a-f-A-M-H-S","168087","MH-60R","USN",""
