#TAK ADSB IDs FINLAND Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","SIDC","registration","type","operator"

"46783B","a-f-A-M-F-F","HN-456","F-18C","Finnish Air Force"
"46783C","a-f-A-M-F-F","HN-457","F-18C","Finnish Air Force"
"46783D","a-f-A-M-F-F","HN-461","F-18D","Finnish Air Force"
"46783E","a-f-A-M-F-F","HN-462","F-18D","Finnish Air Force"
"46783F","a-f-A-M-F-F","HN-463","F-18D","Finnish Air Force"
"467840","a-f-A-M-F-F","HN-464","F-18D","Finnish Air Force"
"467841","a-f-A-M-F-F","HN-465","F-18D","Finnish Air Force"
"467842","a-f-A-M-F-F","HN-466","F-18D","Finnish Air Force"
"467843","a-f-A-M-F-F","HN-467","F-18D","Finnish Air Force"
"467844","a-f-A-M-F-F","HN-4xx","F-18","Finnish Air Force"
"467845","a-f-A-M-F-F","HN-4xx","F-18","Finnish Air Force"
"467848","a-f-A-M-F-F","HN-4xx","F-18C","Finnish Air Force"
"467849","a-f-A-M-F-F","HN-401","F-18","Finnish Air Force"
"46784A","a-f-A-M-F-F","HN-441","F-18","Finnish Air Force"
"46784B","a-f-A-M-F-F","HN-440","F-18","Finnish Air Force"
"46784C","a-f-A-M-F-F","HN-426","F-18","Finnish Air Force"
"46784D","a-f-A-M-F-F","HN-4xx","F-18","Finnish Air Force"
"46784E","a-f-A-M-F-F","HN-4xx","F-18","Finnish Air Force"
"46784F","a-f-A-M-F-F","HN-4xx","F-18","Finnish Air Force"
"46788b","a-f-A-M-F-R","LJ-3","Learjet35A","Finnish Air Force"
"46788c","a-f-A-M-F-R","LJ-2","Learjet35A","Finnish Air Force"
"46788d","a-f-A-M-F-R","LJ-1","Learjet35A","Finnish Air Force"
"46788e","a-f-A-M-F-C-M","CC-1","CasaC295","Finnish Air Force"
"46788f","a-f-A-M-F-C-M","CC-2","CasaC295","Finnish Air Force"
"467890","a-f-A-M-F-T","PI-01","PilatusPC12","Finnish Air Force"
"467891","a-f-A-M-F-T","PI-02","PilatusPC12","Finnish Air Force"
"467892","a-f-A-M-F-T","PI-03","PilatusPC12","Finnish Air Force"
"467893","a-f-A-M-F-T","PI-04","PilatusPC12","Finnish Air Force"
"467894","a-f-A-M-F-T","PI-05","PilatusPC12","Finnish Air Force"
"467895","a-f-A-M-F-T","PI-06","PilatusPC12","Finnish Air Force"
"467896","a-f-A-M-F-C-M","CC-3","CasaC295","Finnish Air Force"
"467899","a-f-A-M-U","UNKN","UNKN","Finnish Air Force"
"46789A","a-f-A-M-U","UNKN","UNKN","Finnish Air Force"
"46789E","a-f-A-M-U","UNKN","UNKN","Finnish Air Force"
"4678CA","a-f-A-M-U","UNKN","UNKN","Finnish Air Force"
