#TAK ADSB IDs DEUY Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"3eadcf","a-f-A-M-F-C-H","51+06","C-160D","DEU AF"
"3eade8","a-f-A-M-H-U-L","76+07","EC645","DEU AF"
"3eae42","a-f-A-M-F-F","30+59","EF-2000","DEU AF"
"3eae43","a-f-A-M-F-F","30+56","EF-2000","DEU AF"
"3eae8e","a-f-A-M-F-F","30+51","EF-2000","DEU AF"
"3eaf99","a-f-A-M-F-F","30+56","EF-2000","DEU AF"
"3eb0a2","a-f-A-M-F-F","44+33","Tornado IDS","DEU AF"
"3eb1a2","a-f-A-M-F-F","46+54","Tornado","DEU AF"
"3EB1A6","a-f-A-M-F-V","16+01","A340-300","DEU AF"
"3EB1B3","a-f-A-M-H-C-M","78+26","NH-90","DEU A"
"3eb1e3","a-f-A-M-F-F","43+48","Tornado","DEU AF"
"3eb1f8","a-f-A-M-F-F","44+21","Tornado IDS","DEU AF"
"3eb373","a-f-A-M-F-F","30+94","EF-2000","DEU AF"
"3eb46b","a-f-A-M-F-F","30+64","EF-2000","DEU AF"
"3eb4fa","a-f-A-M-F-F","30+30","EF-2000","DEU AF"
"3EB522","a-f-A-M-H-C-M","78+27","NH-90","DEU A"
"3eb54f","a-f-A-M-F-F","30+70","EF-2000","DEU AF"
"3eb554","a-f-A-M-F-F","30+66","EF-2000","DEU AF"
"3EB57B","a-f-A-M-H-C-M","78+32","NH-90","DEU A"
"3eb65d","a-f-A-M-F-F","30+90","EF-2000","DEU AF"
"3eb6ad","a-f-A-M-F-F","31+13","EF-2000","DEU AF"
"3EB6B3","a-f-A-M-H-A","74+04","EC665","DEU A"
"3EB6F8","a-f-A-M-H-C-M","79+19","NH-90","DEU A"
"3eb83e","a-f-A-M-F-F","30+51","EF-2000","DEU AF"
"3EB866","a-f-A-M-H-C-M","78+16","NH-90","DEU A"
"3eb86e","a-f-A-M-F-F","30+92","EF-2000","DEU AF"
"3EB8E4","a-f-A-M-F-F","30+72","EF-2000","DEU AF"
"3eb90f","a-f-A-M-F-C-H","50+82","C-160D","DEU AF"
"3eba39","a-f-A-M-F-F","31+34","EF-2000","DEU AF"
"3ebb41","a-f-A-M-F-F","30+81","EF-2000","DEU AF"
"3EBBF8","a-f-A-M-F-F","30+10","EF-2000","DEU AF"
"3ebcd5","a-f-A-M-F-F","30+50","EF-2000","DEU AF"
"3ebcdd","a-f-A-M-F-F","45+39","Tornado IDS","DEU AF"
"3EBD02","a-f-A-M-H-U-H","82+01","AS332","DEU A"
"3ebd25","a-f-A-M-F-F","30+94","EF-2000","DEU AF"
"3ebd41","a-f-A-M-F-V","14+06","Global 6000","DEU AF"
"3ebe12","a-f-A-M-F-V","14+07","Global 6000","DEU AF"
"3EBE3E","a-f-A-M-F-F","43+92","Tornado","DEU AF"
"3ebf05","a-f-A-M-H-V","82+01","AS.532U-2","DEU AF"
"3f403d","a-f-A-M-F-F","31+29","EF-2000","DEU AF"
"3f4041","a-f-A-M-F-F","30+45","EF-2000","DEU AF"
"3f4093","a-f-A-M-F-F","30+95","EF-2000","DEU AF"
"3F40DF","a-f-A-M-H-C-M","78+20","NH-90","DEU A"
"3f413d","a-f-A-M-F-C-H","51+05","C-160D","DEU AF"
"3f41b9","a-f-A-M-F-F","30+83","EF-2000","DEU AF"
"3f4305","a-f-A-M-F-F","44+70","Tornado IDS","DEU AF"
"3F431A","a-f-A-M-H-C-M","79+24","NH-90","DEU A"
"3f4329","a-f-A-M-F-F","44+73","Tornado IDS","DEU AF"
"3f4346","a-f-A-M-H-U-L","76+09","EC645T2","DEU AF"
"3f4368","a-f-A-M-F-C-H","54+01","A400M","DEU AF"
"3F4379","a-f-A-M-F-F","43+29","Tornado","DEU AF"
"3F43A0","a-f-A-M-H-A","74+41","EC665","DEU A"
"3F43D4","a-f-A-M-F-C-H","54+03","A400M","DEU AF"
"3f43d4","a-f-A-M-F-C-H","54+03","Airbus Military A400M","DEU AF"
"3F4520","a-f-A-M-H-C-M","78+14","NH-90","DEU A"
"3f4521","a-f-A-M-F-F","30+61","EF-2000","DEU AF"
"3F455D","a-f-A-M-F-F","46+51","Tornado","DEU AF"
"3F46DB","a-f-A-M-F-C-H","54+27","A400M","DEU AF"
"3f46fd","a-f-A-M-F-C-H","51+05","C-160D","DEU AF"
"3f47dc","a-f-A-M-F-F","30+81","EF-2000","DEU AF"
"3f47fa","a-f-A-M-H-U-L","76+03","EC645T2","DEU AF"
"3F48D6","a-f-A-M-F-F","30+62","EF-2000","DEU AF"
"3F4988","a-f-A-M-H-U-M","73+54","UH-1D","DEU A"
"3F49E6","a-f-A-M-F-C-H","54+23","A400M","DEU AF"
"3F4A1D","a-f-A-M-F-F","30+95","EF-2000","DEU AF"
"3f4a5f","a-f-A-M-F-F","46+46","Tornado ECR","DEU AF"
"3F4B1F","a-f-A-M-H-U-L","76+14","EC145","DEU A"
"3F4BA9","a-f-A-M-F-C-H","54+20","A400M","DEU AF"
"3f4ba9","a-f-A-M-F-C-H","54+20","A400M-180",""
"3f4c84","a-f-A-M-F-F","30+51","EF-2000","DEU AF"
"3F4D0C","a-f-A-M-F-C-H","54+18","A400M","DEU AF"
"3f4d9f","a-f-A-M-F-F","46+54","Tornado ECR","DEU AF"
"3F4DCA","a-f-A-M-H-C-M","78+13","NH-90","DEU A"
"3F4DD9","a-f-A-M-F-F","31+36","EF-2000","DEU AF"
"3F4DDF","a-f-A-M-F-C-H","54+24","A400M","DEU AF"
"3F4E1E","a-f-A-M-F-F","30+22","EF-2000","DEU AF"
"3F4E27","a-f-A-M-F-V","14+02","Global 5000","DEU AF"
"3F4EFE","a-f-A-M-F-C-H","54+16","A400M","DEU AF"
"3F4F0F","a-f-A-M-F-C-H","54+25","A400M","DEU AF"
"3f50ec","a-f-A-M-F-F","31+29","EF-2000","DEU AF"
"3F518E","a-f-A-M-F-F","98+59","Tornado","DEU AF"
"3F52CD","a-f-A-M-H-A","74+28","EC665","DEU A"
"3F52DB","a-f-A-M-H-A","74+24","EC665","DEU A"
"3F532C","a-f-A-M-H-C-M","79+40","NH-90","DEU A"
"3f5440","a-f-A-M-F-F","31+09","EF-2000","DEU AF"
"3F551D","a-f-A-M-F-V","15+02","A319CJ","DEU A"
"3f5544","a-f-A-M-F-F","30+59","EF-2000","Gaf 30+59"
